date,new_cases,recoveries,in_icu,death,text,source_url
2020-07-17,593,323,62,5,"اللجنة المشتركة لرصد و متابعة تفشي وباء كورونا covid-19
حصيلة وباء كورونا كوفيد-19 ليوم الجمعة  17  جويلية 2020 و هي 
•593 حالة جديدة 
•323 حالة تماثلت للشفاء
•62 مريض متواجدون في العناية المركزة
•05 وفيات. https://t.co/FjKvSEsgPd",https://twitter.com/Sante_Gouv_dz/status/1284154443177562113
2020-07-18,601,314,67,11,"اللجنة المشتركة لرصد و متابعة تفشي وباء كورونا covid-19
حصيلة وباء كورونا كوفيد-19 ليوم السبت 18 جويلية 2020 و هي 

•601 حالة جديدة 
•314 حالة تماثلت للشفاء
•67 مريض متواجدون في العناية المركزة
•11 وفيات. https://t.co/Z1mf8cjiY5",https://twitter.com/Sante_Gouv_dz/status/1284513038037590017
2020-07-20,607,349,64,9,"اللجنة المشتركة لرصد و متابعة تفشي وباء كورونا covid-19
حصيلة وباء كورونا كوفيد-19 ليوم الاثنين 20 جويلية 2020 و هي

•607 حالة جديدة 
•349 حالة تماثلت للشفاء
•64 مريض متواجدون في العناية المركزة
•09 وفيات. https://t.co/zRSQ0yFE7q",https://twitter.com/Sante_Gouv_dz/status/1285237338445164550
2020-07-21,587,246,56,13,"اللجنة المشتركة لرصد و متابعة تفشي وباء كورونا covid-19
حصيلة وباء كورونا كوفيد-19 ليوم الثلاثاء 21 جويلية 2020 و هي

•587 حالة جديدة 
•246 حالة تماثلت للشفاء
•56 مريض متواجدون في العناية المركزة
•13 وفيات. https://t.co/dUZWK8cKlV",https://twitter.com/Sante_Gouv_dz/status/1285602209493913601
2020-07-22,594,337,51,11,"اللجنة المشتركة لرصد و متابعة تفشي وباء كورونا covid-19
حصيلة وباء كورونا كوفيد-19 ليوم الاربعاء 22 جويلية 2020 و هي

•594 حالة جديدة 
•337 حالة تماثلت للشفاء
•51 مريض متواجدون في العناية المركزة
•11 وفيات. https://t.co/ybzQ5FPOX6",https://twitter.com/Sante_Gouv_dz/status/1285966837616869378
2020-07-23,612,386,66,13,"اللجنة المشتركة لرصد و متابعة تفشي وباء كورونا covid-19
حصيلة وباء كورونا كوفيد-19 ليوم الخميس 23 جويلية 2020 و هي

•612 حالة جديدة 
•386 حالة تماثلت للشفاء
•66 مريض متواجدون في العناية المركزة
•13 وفيات. https://t.co/0eAfTyGibn",https://twitter.com/Sante_Gouv_dz/status/1286325238570143748
2020-07-25,605,383,63,10,"اللجنة المشتركة لرصد و متابعة تفشي وباء كورونا covid-19
حصيلة وباء كورونا كوفيد-19 ليوم السبت 25 جويلية 2020 و هي

•605 حالة جديدة 
• 383 حالة تماثلت للشفاء
• 63 مريض متواجدون في العناية المركزة
•10 وفيات. https://t.co/I2Cbuy2Ez0",https://twitter.com/Sante_Gouv_dz/status/1287062628091789312
2020-07-26,593,395,64,9,"اللجنة المشتركة لرصد و متابعة تفشي وباء كورونا covid-19
حصيلة وباء كورونا كوفيد-19 ليوم الاحد 26 جويلية 2020 و هي

•593 حالة جديدة 
•395 حالة تماثلت للشفاء
•64 مريض متواجدون في العناية المركزة
•9 وفيات. https://t.co/nIMaLyKrv0",https://twitter.com/Sante_Gouv_dz/status/1287414827447615489
2020-07-27,616,366,58,8,"اللجنة المشتركة لرصد و متابعة تفشي وباء كورونا covid-19
حصيلة وباء كورونا كوفيد-19 ليوم الاثنين 27 جويلية 2020 و هي

•616 حالة جديدة 
•366 حالة تماثلت للشفاء
• 58 مريض متواجدون في العناية المركزة
•8 وفيات. https://t.co/hrzPF8zWev",https://twitter.com/Sante_Gouv_dz/status/1287778257329426432
2020-07-31,563,455,65,10,"اللجنة المشتركة لرصد و متابعة تفشي وباء كورونا covid-19
حصيلة وباء كورونا كوفيد-19 ليوم الجمعة  31 جويلية 2020 و هي

•563 حالة جديدة 
•455 حالة تماثلت للشفاء
•65 حالة في العناية المركزة
•10 وفيات. https://t.co/QKEsCHt3O1",https://twitter.com/Sante_Gouv_dz/status/1289274057800769536
2020-08-01,556,451,64,13,"اللجنة المشتركة لرصد و متابعة تفشي وباء كورونا covid-19
حصيلة وباء كورونا كوفيد-19 ليوم السبت 01 اوت 2020 و هي

• 556 حالة جديدة 
• 451 حالة تماثلت للشفاء
• 64 مريض متواجدون في العناية المركزة
• 13 وفيات. https://t.co/p77BEJrKvj",https://twitter.com/Sante_Gouv_dz/status/1289595075249336320
2020-08-02,515,431,54,8,"اللجنة المشتركة لرصد و متابعة تفشي وباء كورونا covid-19
حصيلة وباء كورونا كوفيد-19 ليوم الاحد 02 اوت 2020 و هي

•515 حالة جديدة 
•431 حالة تماثلت للشفاء
•54 مريض متواجدون في العناية المركزة
•8 وفيات. https://t.co/X3JvUmNSeo",https://twitter.com/Sante_Gouv_dz/status/1289954476925677568
